Combination: ('년도 및 분기',)
년도 및 분기,count
2015년 하반기,현대위아(주),8
2015년 상반기,에이치디한국조선해양㈜,8
2016년 상반기,엘지전자㈜,8
2018년 하반기,한국전력공사,8
2018년 상반기,SK하이닉스(주),8
2016년 하반기,㈜KT,8
2017년 상반기,삼성전자㈜,8
2018년 하반기,(주)LG화학,7
2017년 하반기,포스코홀딩스,7
2015년 하반기,한화S&C㈜,7
2018년 하반기,SK하이닉스(주),7
2016년 하반기,국민건강보험공단,7
2015년 상반기,한샘,7
2015년 상반기,(주)LG생활건강,7
2018년 상반기,엘지전자㈜,7
2016년 상반기,삼성화재해상보험,7
2015년 하반기,넷마블(주),7
2015년 하반기,현대자동차㈜,7
2022년 상반기,삼성전자㈜,7
2015년 하반기,NH농협은행,7
2019년 상반기,한국수자원공사,7
2018년 상반기,한국전력공사,7
2015년 상반기,현대제철주식회사,7
2016년 하반기,엔에이치엔(주),7
2017년 하반기,한국철도공사,7
2020년 하반기,삼성전자㈜,7
2021년 상반기,CJ제일제당(주),7
2017년 하반기,한국동서발전(주),7
2016년 하반기,현대글로비스(주),7
2018년 하반기,GS리테일,6
2017년 상반기,한국토지주택공사,6
2016년 상반기,인천국제공항공사,6
2016년 하반기,현대모비스㈜,6
2015년 상반기,CJ제일제당(주),6
2017년 하반기,㈜KT,6
2016년 하반기,쿠팡(주),6
2018년 상반기,한국수자원공사,6
2018년 상반기,(주)LG화학,6
2017년 상반기,㈜KT,6
2015년 하반기,CJ대한통운(주),6
2015년 하반기,비씨카드(주),6
2018년 하반기,㈜KT,6
2015년 하반기,에프알엘코리아,6
2016년 상반기,CJ제일제당(주),6
2015년 하반기,(주)아모레퍼시픽,6
2015년 하반기,에이치디한국조선해양㈜,6
2017년 상반기,한국동서발전(주),6
2015년 상반기,SK하이닉스(주),6
2017년 하반기,한국서부발전(주),6
2016년 하반기,엘지디스플레이,6
2016년 하반기,기아㈜,6
2015년 상반기,엘지전자㈜,6
2015년 상반기,㈜CJ ENM,6
2016년 상반기,한국서부발전(주),6
2016년 상반기,현대모비스㈜,6
2019년 상반기,CJ제일제당(주),6
2018년 상반기,CJ제일제당(주),5
2016년 상반기,한국전력공사,5
2016년 상반기,새마을금고중앙회,5
2015년 상반기,롯데IT테크(주),5
2019년 하반기,포스코홀딩스,5
2015년 하반기,㈜국민은행,5
2017년 하반기,(주)LG화학,5
2016년 상반기,현대오토에버㈜,5
2017년 하반기,한국중부발전(주),5
2017년 하반기,NH농협은행,5
2017년 하반기,㈜효성,5
2015년 상반기,한국전력공사,5
2019년 하반기,㈜우리은행,5
2017년 하반기,㈜BGF리테일,5
2016년 하반기,(주)대웅제약,5
2016년 상반기,한화시스템(주),5
2019년 상반기,NH농협은행,5
2018년 상반기,CJ대한통운(주),5
2019년 상반기,GS리테일,5
2016년 상반기,한국가스안전공사,5
2018년 상반기,한국가스공사,5
2016년 상반기,대한항공,5
2016년 하반기,한국전력공사,5
2016년 하반기,근로복지공단,5
2015년 하반기,현대엔지니어링(주),5
2015년 하반기,해태제과식품(주),5
2016년 하반기,대림산업㈜,5
2016년 하반기,대한항공,5
2016년 하반기,롯데슈퍼,5
2020년 상반기,삼성전자㈜,5
2021년 상반기,삼성전자㈜,5
2016년 하반기,삼성화재해상보험,5
2015년 하반기,삼성중공업(주),5
2016년 하반기,세메스(주),5
2016년 상반기,국립공원공단,5
2016년 하반기,씨제이올리브네트웍스㈜,5
2016년 하반기,에프알엘코리아,5
2016년 하반기,예금보험공사,5
2019년 하반기,샘표식품㈜,5
2016년 하반기,한샘,5
2015년 하반기,한샘,5
2016년 하반기,코스맥스비티아이(주),5
2015년 상반기,쿠팡(주),5
2016년 하반기,CJ제일제당(주),5
2016년 상반기,㈜마이다스아이티,5
2015년 하반기,SK텔레콤,5
2015년 하반기,한국타이어앤테크놀로지(주),5
2015년 상반기,현대모비스㈜,5
2016년 하반기,SK텔레콤,5
2016년 하반기,SK하이닉스(주),5
2022년 하반기,삼성전자㈜,5
2018년 상반기,한국중부발전(주),5
2016년 하반기,㈜국민은행,5
2016년 하반기,현대트랜시스,5
2018년 하반기,한국가스공사,5
2015년 하반기,현대제철주식회사,5
2017년 상반기,한국철도공사,5
2016년 하반기,현대카드,5

Combination: ('년도 및 분기', '학력')
년도 및 분기,학력,count
2015년 하반기,서울4년,336
2016년 하반기,서울4년,321
2016년 상반기,서울4년,255
2015년 하반기,지방4년,224
2017년 하반기,서울4년,187
2016년 상반기,지방4년,184
2015년 상반기,서울4년,179
2015년 하반기,수도권4년,166
2017년 상반기,서울4년,158
2016년 하반기,지방4년,146
2019년 하반기,서울4년,133
2016년 하반기,수도권4년,130
2018년 하반기,서울4년,129
2019년 상반기,서울4년,110
2018년 상반기,서울4년,100
2017년 상반기,지방4년,95
2023년 상반기,서울4년,86
2016년 상반기,수도권4년,84
2017년 하반기,지방4년,81
2020년 하반기,서울4년,81
2021년 하반기,서울4년,80
2021년 상반기,서울4년,76
2015년 상반기,지방4년,76
2022년 상반기,서울4년,76
2018년 하반기,수도권4년,76
2016년 상반기,고졸,75
2017년 하반기,수도권4년,74
2022년 하반기,서울4년,74
2022년 하반기,수도권4년,70
2015년 상반기,수도권4년,68
2018년 상반기,지방4년,67
2018년 상반기,수도권4년,66
2020년 상반기,지방4년,60
2016년 하반기,대졸4년,58
2019년 상반기,지방4년,55
2017년 상반기,대학원,54
2022년 상반기,지방4년,52
2017년 하반기,대학원,50
2016년 상반기,대졸4년,48
2019년 하반기,수도권4년,47
2018년 하반기,지방4년,46
2020년 상반기,서울4년,45
2019년 하반기,지방4년,43
2021년 하반기,대학원,41
2022년 상반기,대학원,40
2017년 상반기,수도권4년,38
2018년 상반기,대학원,37
2019년 상반기,수도권4년,36
2021년 하반기,수도권4년,35
2020년 상반기,수도권4년,34
2021년 하반기,지방4년,33
2022년 상반기,수도권4년,31
2021년 상반기,수도권4년,31
2021년 상반기,대학원,30
2023년 상반기,수도권4년,30
2018년 하반기,대학원,30
2021년 상반기,지방4년,29
2023년 상반기,지방4년,29
2020년 상반기,대학원,27
2022년 하반기,지방4년,25
2022년 하반기,대학원,24
2019년 하반기,대학원,24
2016년 하반기,고졸,24
2019년 상반기,대학원,24
2017년 하반기,고졸,23
2018년 하반기,고졸,22
2018년 하반기,대졸4년,22
2020년 하반기,대학원,21
2014년 하반기,서울4년,20
2022년 상반기,대졸4년,20
2021년 하반기,고졸,18
2014년 하반기,수도권4년,18
2016년 하반기,대학원,18
2015년 하반기,대졸4년,18
2023년 하반기,서울4년,18
2016년 상반기,초대졸,17
2014년 하반기,지방4년,16
2020년 하반기,지방4년,16
2016년 하반기,초대졸,15
2018년 상반기,고졸,13
2019년 하반기,고졸,13
2015년 하반기,해외대학,13
2023년 상반기,대학원,13
2016년 상반기,해외대학,12
2018년 상반기,초대졸,12
2020년 하반기,고졸,12
2017년 상반기,초대졸,12
2016년 하반기,해외대학,11
2020년 하반기,수도권4년,11
2018년 상반기,해외대학,10
2023년 하반기,수도권4년,10
2023년 상반기,대졸4년,9
2017년 하반기,대졸4년,9
2017년 상반기,고졸,9
2017년 하반기,초대졸,9
2014년 상반기,지방4년,9
2019년 상반기,고졸,9
2015년 하반기,초대졸,8
2014년 상반기,수도권4년,7
2017년 상반기,대졸4년,7
2021년 하반기,대졸4년,7
2015년 상반기,해외대학,7
2022년 하반기,고졸,7
2023년 하반기,대학원,7
2013년 하반기,서울4년,7
2023년 하반기,지방4년,6
2015년 상반기,고졸,6
2017년 하반기,해외대학,6
2020년 상반기,고졸,6
2019년 상반기,초대졸,6
